timestamp,Addr 0,Addr 1,Addr 2,Addr 3,Addr 4,Addr 5,Addr 6,Addr 7
2026-08-23T22:56:40.480Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:40.573Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:40.668Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:40.771Z,0,1,1,1,1,0,0,0
2026-08-23T22:56:40.869Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:40.964Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:41.073Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:41.167Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:41.273Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:41.480Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:41.480Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:41.598Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:41.668Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:41.772Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:41.881Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:41.977Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:42.072Z,1,0,1,1,1,0,0,0
2026-08-23T22:56:42.163Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:42.273Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:42.367Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:42.475Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:42.569Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:42.676Z,1,1,1,1,1,0,0,0
2026-08-23T22:56:42.773Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:42.868Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:42.976Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:43.071Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:43.176Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:43.273Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:43.366Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:43.476Z,0,0,1,1,1,1,0,0
2026-08-23T22:56:43.582Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:43.664Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:43.773Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:43.867Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:43.989Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:44.070Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:44.164Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:44.274Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:44.367Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:44.476Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:44.664Z,1,0,1,1,1,1,0,0
2026-08-23T22:56:44.664Z,1,0,1,1,1,1,0,0
